"GPA","Gender","breakfast","calories_chicken","calories_day","calories_scone","coffee","comfort_food_reasons_coded","cook","cuisine","diet_current_coded","drink","eating_changes_coded","eating_changes_coded1","eating_out","employment","ethnic_food","exercise","father_education","fav_cuisine_coded","fav_food","fries","fruit_day","grade_level","greek_food","healthy_feeling","ideal_diet_coded","income","indian_food","italian_food","life_rewarding","marital_status","mother_education","nutritional_check","on_off_campus","parents_cook","pay_meal_out","persian_food","self_perception_weight","soup","sports","thai_food","tortilla_calories","turkey_calories","veggies_day","vitamins","waffle_calories","weight","kg"
3.2,"Male",1,720,3,420,1,3,4,1,2,2,1,3,2,2,3,1,4,5,2,1,4,2,1,5,2,6,1,5,4,1,5,2,1,1,3,1,4,1,1,1,1165,690,4,1,1315,155,70.3075387825456
3.5,"Male",2,720,4,980,2,9,NA,1,2,2,2,5,1,2,5,1,2,2,1,1,4,3,5,7,6,2,5,5,1,1,NA,5,1,1,4,5,2,1,2,5,1165,850,4,1,1315,175,79.379479270616
3.2,"Female",1,610,3,420,2,1,3,NA,2,1,2,5,2,2,5,1,4,4,1,2,5,3,4,7,2,3,5,5,1,1,2,5,1,2,3,4,3,1,2,5,1165,500,5,1,900,129,58.5140161480541
3.68,"Male",1,720,4,420,2,2,4,NA,1,2,2,5,2,3,3,1,2,1,1,1,5,1,4,7,4,6,3,5,8,1,3,2,1,1,4,3,4,2,1,3,1165,850,4,1,1315,260,117.935226344915
3.8,"Female",2,610,2,420,2,2,2,1,2,2,1,3,3,2,2,2,5,5,3,1,2,3,1,5,2,6,1,4,2,2,5,3,2,3,3,1,3,1,2,1,725,500,1,2,900,135,61.2355982944752
3.3,"Male",2,720,NA,420,2,1,2,1,2,2,2,5,5,2,1,3,2,5,1,1,1,3,1,8,3,3,1,5,1,2,3,2,1,1,3,1,4,1,1,1,1165,690,4,2,900,190,86.1834346366688
3.2,"Male",1,720,NA,420,2,2,4,1,2,2,1,2,2,3,5,3,5,1,1,1,4,1,4,6,2,4,5,5,6,1,4,1,1,1,4,5,3,1,2,5,1165,690,5,2,1315,165,74.8435090265808
3.75,"Male",1,610,3,420,2,5,2,NA,1,2,1,3,2,NA,5,1,4,1,1,1,5,4,5,7,7,6,5,5,6,2,4,4,1,1,3,5,3,1,1,5,940,690,5,1,1315,175,79.379479270616
3.5,"Male",1,265,NA,420,2,2,3,1,2,2,1,2,2,3,4,1,4,5,3,1,4,3,4,10,6,5,3,5,10,2,4,3,1,1,3,3,2,2,1,4,1165,690,4,2,1315,184,83.4618524902477
3.92,"Male",1,430,3,420,2,7,2,2,2,2,2,5,2,2,4,2,2,1,3,1,3,1,3,2,2,6,3,5,8,1,5,2,1,2,3,3,6,1,2,3,725,500,2,1,900,210,95.2553751247392
3.9,"Female",1,720,3,420,2,2,3,1,1,2,2,5,2,2,3,1,5,1,1,1,5,2,2,1,2,5,2,5,1,1,3,4,1,1,5,1,3,1,1,3,1165,500,5,2,760,155,70.3075387825456
3.9,"Male",1,720,3,315,1,3,4,6,2,2,2,5,5,3,5,2,4,1,NA,1,5,4,5,8,3,6,5,5,1,2,2,3,4,3,6,1,4,1,1,5,1165,690,4,1,1315,185,83.9154495146512
3.2,"Female",1,430,4,420,1,3,4,2,2,1,2,5,3,2,3,NA,3,1,1,1,5,1,3,3,4,4,1,5,2,2,4,2,1,1,3,1,3,1,1,1,1165,690,5,1,900,165,74.8435090265808
3.5,"Female",1,610,3,NA,2,3,3,1,1,1,1,3,2,2,5,2,2,1,1,1,5,1,5,2,4,2,5,5,1,2,2,2,1,1,2,5,2,1,1,5,NA,500,5,2,900,125,56.69962805044
3.4,"Female",1,610,NA,420,2,2,3,1,2,2,1,11,2,2,5,3,4,4,3,1,5,1,5,3,2,5,4,5,3,1,4,4,1,1,2,4,5,1,2,3,1165,500,5,2,1315,160,72.5755239045632
NA,"Female",1,610,4,420,2,3,2,1,1,2,2,5,3,3,5,1,5,1,3,1,5,2,2,7,3,NA,1,5,7,1,5,5,1,2,3,1,4,1,2,2,940,500,5,1,900,135,61.2355982944752
3.7,"Female",1,610,3,420,2,8,2,1,1,1,1,3,2,2,5,2,4,8,1,1,5,3,3,4,2,4,5,5,8,1,4,4,1,2,3,3,6,1,2,3,725,345,5,1,760,130,58.9676131724576
NA,"Female",1,720,3,420,2,2,4,1,2,2,1,2,2,2,4,NA,4,1,3,1,4,1,3,9,2,5,3,5,3,1,3,4,1,2,4,2,5,2,2,5,940,690,5,1,1315,230,104.32731561281
3,"Female",1,720,3,420,2,2,3,1,2,2,1,10,3,NA,4,2,4,1,3,1,3,4,5,2,5,4,3,5,1,2,3,2,2,1,5,4,3,2,1,3,1165,690,2,2,1315,125,56.69962805044
3,"Female",1,430,3,315,2,NA,2,NA,1,1,2,12,5,NA,5,2,5,4,1,1,5,1,5,7,1,1,5,5,6,1,4,4,1,1,3,4,4,1,2,4,580,500,5,2,760,130,58.9676131724576
3.8,"Female",1,430,3,420,1,NA,2,1,1,1,1,2,2,2,4,1,3,1,3,1,4,2,3,5,2,4,3,5,4,1,3,2,1,1,3,2,4,1,2,5,1165,690,4,2,900,165,74.8435090265808
3.8,"Female",1,430,2,420,2,NA,5,1,1,2,1,2,2,3,2,1,4,1,2,1,5,2,2,6,1,6,5,5,5,2,3,4,1,2,3,2,3,1,1,2,580,345,5,2,760,128,58.0604191236505
3.4,"Female",1,610,3,420,2,NA,2,1,2,2,2,5,3,2,2,3,5,1,2,1,4,2,2,5,2,6,1,5,1,1,5,4,1,2,3,1,5,1,2,2,940,690,3,1,1315,200,90.719404880704
